Product_ID,Quantity,Product_List_Title,Unit_Price,Total_Cost,Discount_Rate
536,3,Product 53,120.43682132331526,8265.37454940804,0.2
523,6,Product 33,475.7249935818949,4047.8504787607,0.0
535,3,Product 6,146.40055601470172,5096.553818483975,0.05
546,6,Product 68,19.373193554270635,8194.281992877543,0.0
556,8,Product 89,193.22131303627867,8331.32924886882,0.2
549,8,Product 27,37.72697151189065,6894.375243656562,0.05
547,7,Product 83,193.9797749485852,4611.329101247279,0.15
542,1,Product 13,486.8076309770262,7623.669347238553,0.0
533,1,Product 54,455.0319594631582,6194.880826757808,0.0
529,8,Product 35,339.62446716236,5933.960843694132,0.0
521,1,Product 40,142.0608125232136,4697.420195618569,0.0
535,8,Product 60,426.6705205487488,5350.517195865819,0.0
555,4,Product 97,144.29507877767358,980.913486556204,0.0
524,9,Product 99,159.05737262177763,5943.900905880649,0.1
508,6,Product 70,277.8227995958245,6757.282871927786,0.15
546,9,Product 8,38.343780229108695,4743.788008955943,0.0
523,1,Product 88,380.7977818635983,5013.353792234297,0.05
510,4,Product 45,331.7974475135879,9438.36161081244,0.0
515,2,Product 95,379.5816472442196,7036.432792204224,0.1
549,9,Product 40,256.4677905033749,6980.821047923439,0.05
542,6,Product 84,184.944378545306,5034.828782162813,0.2
535,9,Product 63,160.81995752356536,7657.985051266169,0.0
548,2,Product 99,191.84533983076264,3755.9437915651183,0.1
520,1,Product 11,47.71993886183348,881.3191613109819,0.0
521,4,Product 57,256.4677905033749,6869.126171070717,0.2
531,9,Product 54,344.4824383994672,7743.24610741125,0.2
537,5,Product 71,345.86750277873176,6887.646511271185,0.05
534,8,Product 45,97.83409531224756,5671.2764325260505,0.0
542,3,Product 7,47.09286638179586,6154.682460834315,0.05
524,8,Product 84,373.5292002097704,7419.523116226637,0.05
528,8,Product 8,202.01109286213276,3869.92128893702,0.1
544,1,Product 80,38.465056519371394,4107.639467733516,0.15
516,8,Product 86,256.4677905033749,3135.9144573870635,0.1
546,7,Product 26,476.87935833122793,5096.553818483975,0.15
526,3,Product 55,278.7253898668457,6016.129646141524,0.05
531,3,Product 56,497.8592436544529,4293.659511892614,0.15
525,6,Product 90,343.01396304020284,1607.5392082791188,0.2
529,6,Product 7,323.83326066616354,4028.93899493158,0.15
538,6,Product 77,256.4677905033749,3887.663671868953,0.1
511,3,Product 8,222.07984108263997,9349.77168594007,0.0
545,3,Product 61,256.4677905033749,2167.170460122895,0.0
536,4,Product 31,42.34482362871837,5852.379462596614,0.05
546,5,Product 60,473.7636914436987,2226.899238564938,0.15
525,8,Product 6,139.3903724999222,5096.553818483975,0.2
533,7,Product 7,361.0345848594685,3854.4774449147,0.05
550,4,Product 76,163.26121471307349,4446.708505624851,0.05
501,9,Product 70,352.82338911483964,3876.6737049585863,0.05
553,6,Product 23,110.29325343806914,8853.637048945504,0.2
522,9,Product 2,383.5282860054704,5096.553818483975,0.2
512,1,Product 9,294.99492356470483,2925.695550750819,0.0
552,9,Product 1,239.86253341331357,5982.612282685112,0.2
560,7,Product 82,334.89312398367696,4253.975325986898,0.1
519,7,Product 63,389.9196136975364,6625.079861479777,0.05
516,8,Product 96,340.2571619914079,1274.9617933079762,0.1
560,2,Product 17,388.83951822014905,597.7027113890742,0.05
556,7,Product 42,474.0744268831744,6089.346099339957,0.05
535,5,Product 93,319.87174892090985,5096.553818483975,0.2
502,9,Product 38,276.68444339571187,6520.260197772526,0.05
522,1,Product 6,181.7550618002193,1261.7741897150763,0.1
503,1,Product 99,451.4708388883293,9486.723453533194,0.1
524,5,Product 12,256.4677905033749,3481.841726892759,0.05
520,8,Product 33,146.147860283959,1983.9143253406933,0.0
556,8,Product 10,391.76026733393553,9919.561370360172,0.05
508,1,Product 19,348.5331485099032,1829.8800788567476,0.0
515,6,Product 92,275.0434518806596,7684.411018513126,0.05
514,1,Product 52,199.94791467326704,5096.553818483975,0.15
506,4,Product 73,249.36286000335363,6140.916003462796,0.0
521,9,Product 50,36.77086580047643,5098.195438839339,0.0
544,5,Product 72,256.4677905033749,2750.777942018873,0.1
530,4,Product 18,316.18830880742945,1962.04909459085,0.15
547,2,Product 78,460.0289517512503,5018.163822309079,0.15
502,7,Product 11,316.0608835761205,1421.173874171535,0.0
531,4,Product 78,341.2528811457483,8545.42863207505,0.2
526,8,Product 37,322.4672409790084,5857.235884178425,0.1
560,4,Product 25,78.75901391482235,1318.255321104963,0.2
554,2,Product 92,167.36945479161722,6072.927223694795,0.15
515,2,Product 49,441.2768015815277,5262.118623944429,0.15
506,6,Product 20,328.167939042672,622.5259630004916,0.0
522,6,Product 20,206.9247279464577,5968.137572080779,0.15
510,5,Product 74,400.3738846237724,8151.60712834987,0.05
521,6,Product 78,356.78346163108847,5096.553818483975,0.15
538,9,Product 23,64.38906840774428,1802.91063745106,0.05
535,5,Product 59,280.72547402986567,5893.409520345019,0.0
521,7,Product 11,118.95703932660344,2304.3932963468287,0.0
532,3,Product 18,428.35461163528686,8109.3166538319665,0.05
557,1,Product 47,498.6465709527653,3237.7529966155303,0.2
552,3,Product 72,381.08200149587503,4596.7217630198,0.05
529,9,Product 81,17.404235265092765,1696.5743656039035,0.05
523,5,Product 52,425.22008597997313,6055.864207405013,0.15
516,4,Product 41,480.7072180014679,5980.145120760652,0.1
537,4,Product 39,210.61191519033895,6536.436390188143,0.2
506,6,Product 41,333.8969845811869,2221.2411509757867,0.0
527,8,Product 1,446.20535129172544,6279.035250073831,0.2
549,5,Product 27,265.4350633505281,6308.904306643778,0.0
551,6,Product 47,158.43614376381032,8151.585408936801,0.15
510,8,Product 1,436.9928767535186,2032.98990468964,0.15
510,3,Product 59,183.66822490859687,6382.1409859754485,0.0
539,5,Product 62,139.6711631934251,985.9269533937776,0.05
507,3,Product 98,61.64267687282456,1402.1701146695768,0.1
502,2,Product 21,395.2407696079184,3114.7722198515785,0.05
528,6,Product 35,97.88444504172809,6916.832430696043,0.15
542,7,Product 73,118.21786365187435,3869.328947358287,0.05
557,3,Product 67,482.8575310326912,9801.939773455848,0.0
526,1,Product 3,225.2131946123615,1317.3054918129606,0.2
526,3,Product 86,103.88054341006465,6321.560437596849,0.0
525,4,Product 70,384.57595675699713,3491.7252235945093,0.0
530,9,Product 50,36.140518524559866,7443.268284873524,0.0
538,4,Product 73,102.38489681713304,3653.729294990532,0.1
518,1,Product 28,256.4677905033749,4699.317498845673,0.15
537,7,Product 16,264.1634872464916,5989.166977385305,0.0
536,9,Product 36,447.3535314683725,1989.720700509654,0.2
540,8,Product 7,45.17014505099139,4812.9041563971405,0.05
558,6,Product 16,148.42307232669762,5096.553818483975,0.15
547,9,Product 53,488.7334076750823,629.9829402264705,0.2
530,4,Product 46,256.4677905033749,9670.375874488798,0.15
512,4,Product 2,439.9603228606961,3739.106428637804,0.15
534,3,Product 9,495.4327869622253,5695.824321862031,0.0
523,3,Product 73,97.83524983481712,1293.4866894601782,0.1
505,5,Product 58,110.6131399663319,9377.113868157694,0.1
544,9,Product 17,423.2298222160628,4313.886901345911,0.0
544,9,Product 67,446.5192121417419,7437.106318693867,0.2
536,3,Product 6,130.9436959089321,5096.553818483975,0.2
525,9,Product 92,14.889600562640194,9568.376324158702,0.1
511,5,Product 65,154.69772401019807,4662.696825859272,0.0
544,4,Product 44,308.7517383247818,2478.996205080921,0.05
506,1,Product 3,256.4677905033749,7422.234700247725,0.0
524,7,Product 30,250.6369073977509,4192.900304827193,0.0
550,6,Product 37,17.543496928741153,6256.971189074742,0.2
545,9,Product 98,327.6758236515268,1862.9598416711904,0.1
528,7,Product 14,467.02814898505306,6787.428558582983,0.1
530,1,Product 20,401.1636666325015,2387.123480525355,0.05
529,2,Product 37,256.4677905033749,831.6597502341262,0.0
538,9,Product 16,394.03174302686585,4402.493694996312,0.2
519,9,Product 52,20.73753109975439,1308.0356621477904,0.1
544,7,Product 46,483.7542949016498,9794.370477040138,0.15
551,7,Product 80,439.18271092335794,8332.479417243216,0.1
525,9,Product 37,311.9872381036048,7170.02081408103,0.0
542,2,Product 74,256.4677905033749,2421.792517002935,0.0
531,5,Product 85,256.4677905033749,8025.816350615923,0.0
552,7,Product 60,256.4677905033749,8472.213752312837,0.0
547,6,Product 59,164.6573984440415,4765.868295336196,0.15
538,3,Product 76,433.5722909654984,5096.553818483975,0.2
510,5,Product 1,314.0321546754656,3163.180149238419,0.0
504,3,Product 47,256.4677905033749,4089.472530408273,0.0
532,4,Product 95,11.871762102705723,1858.5106653244009,0.15
541,3,Product 31,153.26772410197464,5874.577030826247,0.2
530,5,Product 95,480.4664461586692,9843.888461879798,0.1
514,9,Product 77,285.4156692572598,882.451028587705,0.1
516,9,Product 21,404.20237479159294,4351.516838821972,0.0
504,2,Product 32,221.84965093764015,1175.978949340143,0.1
560,3,Product 93,256.4677905033749,2365.982550784165,0.2
506,2,Product 4,312.22396784774514,654.3127104898101,0.15
541,3,Product 25,448.71958368505295,1482.6240911745922,0.0
532,9,Product 60,169.39461567128524,9494.184324576288,0.1
